Job Title,Job Number,Job Grade,Job Agency,Application Due By,Link To Job
Manager Testing Services - Psychometrician,105416,664,"Civil Service, Department of ",09/19/22,"[<a href=""vacancyDetailsView.cfm?id=105416"">Manager Testing Services - Psychometrician</a>]"
"Cleaner, Pilgrim Psychiatric Center, Cleaner, P22885",105453,05,"Mental Health, Office of",08/08/22,"[<a href=""vacancyDetailsView.cfm?id=105453"">Cleaner, Pilgrim Psychiatric Center, Cleaner, P22885</a>]"
Auditor 1 (Municipal) - Item #03779 (Syracuse Regional Office),105463,18,"State Comptroller, Office of the ",08/08/22,"[<a href=""vacancyDetailsView.cfm?id=105463"">Auditor 1 (Municipal) - Item #03779 (Syracuse Regional Office)</a>]"
Auditor 1 (Municipal) - Item #04355 (Rochester Regional Office),105470,18,"State Comptroller, Office of the ",08/08/22,"[<a href=""vacancyDetailsView.cfm?id=105470"">Auditor 1 (Municipal) - Item #04355 (Rochester Regional Office)</a>]"
Auditor 1 (Municipal) - Item #03966(Buffalo Regional Office),105471,18,"State Comptroller, Office of the ",08/08/22,"[<a href=""vacancyDetailsView.cfm?id=105471"">Auditor 1 (Municipal) - Item #03966(Buffalo Regional Office)</a>]"
Nurse 2,105484,16,"Children & Family Services, Office of ",08/23/22,"[<a href=""vacancyDetailsView.cfm?id=105484"">Nurse 2</a>]"
Nurse 2,105487,16,"Children & Family Services, Office of ",08/23/22,"[<a href=""vacancyDetailsView.cfm?id=105487"">Nurse 2</a>]"
"Infection Control Nurse, Buffalo Psychiatric Center, P22883",105510,19,"Mental Health, Office of",08/15/22,"[<a href=""vacancyDetailsView.cfm?id=105510"">Infection Control Nurse, Buffalo Psychiatric Center, P22883</a>]"
Nurse 2,105518,16,"Children & Family Services, Office of ",08/23/22,"[<a href=""vacancyDetailsView.cfm?id=105518"">Nurse 2</a>]"
Nurse 1,105539,14,"Children & Family Services, Office of ",08/23/22,"[<a href=""vacancyDetailsView.cfm?id=105539"">Nurse 1</a>]"
"Research Scientist 4 – Nathan S. Kline Research Institute– Center for Biomedical Imaging and Neuromodulation (C-BIN), P22890",105625,27,"Mental Health, Office of",08/05/22,"[<a href=""vacancyDetailsView.cfm?id=105625"">Research Scientist 4 – Nathan S. Kline Research Institute– Center for Biomedical Imaging and Neuromodulation (C-BIN), P22890</a>]"
"Licensed Master Social Worker 1, Creedmoor Psychiatric Center, P22898",105644,18,"Mental Health, Office of",08/08/22,"[<a href=""vacancyDetailsView.cfm?id=105644"">Licensed Master Social Worker 1, Creedmoor Psychiatric Center, P22898</a>]"
Health Information Management Technician 1,105684,13,"People With Developmental Disabilities, Office for",08/19/22,"[<a href=""vacancyDetailsView.cfm?id=105684"">Health Information Management Technician 1</a>]"
Licensed Practical Nurse NYS Veterans Home Montrose     ,105698,10,"Health, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=105698"">Licensed Practical Nurse NYS Veterans Home Montrose     </a>]"
Certified Nursing Assistant at Montrose   ,105700,08,"Health, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=105700"">Certified Nursing Assistant at Montrose   </a>]"
Nurse 2 Psychiatric or Nurse1 (Bronx Addiction Treatment Center),105702,Hourly,"Addiction Services and Supports, Office of ",03/31/23,"[<a href=""vacancyDetailsView.cfm?id=105702"">Nurse 2 Psychiatric or Nurse1 (Bronx Addiction Treatment Center)</a>]"
Nurse 2 Psy/Nurse 1 Hourly (Russell E. Blaisdell ATC),105703,Hourly,"Addiction Services and Supports, Office of ",03/31/23,"[<a href=""vacancyDetailsView.cfm?id=105703"">Nurse 2 Psy/Nurse 1 Hourly (Russell E. Blaisdell ATC)</a>]"
Hourly Nurse 2 Psychiatric or Nurse 1 (Kingsboro ATC),105705,Hourly,"Addiction Services and Supports, Office of ",03/31/23,"[<a href=""vacancyDetailsView.cfm?id=105705"">Hourly Nurse 2 Psychiatric or Nurse 1 (Kingsboro ATC)</a>]"
Nurse 2 Psychiatric or Nurse 1 Hourly (Margaret A. Stutzman ATC),105706,Hourly,"Addiction Services and Supports, Office of ",03/31/23,"[<a href=""vacancyDetailsView.cfm?id=105706"">Nurse 2 Psychiatric or Nurse 1 Hourly (Margaret A. Stutzman ATC)</a>]"
Nurse 2 Psychiatric or Nurse 1 Hourly (McPike ATC),105707,Hourly,"Addiction Services and Supports, Office of ",03/31/23,"[<a href=""vacancyDetailsView.cfm?id=105707"">Nurse 2 Psychiatric or Nurse 1 Hourly (McPike ATC)</a>]"
Nurse 2 Psychiatric or Nurse 1 (CK Post ATC),105708,Hourly,"Addiction Services and Supports, Office of ",03/31/23,"[<a href=""vacancyDetailsView.cfm?id=105708"">Nurse 2 Psychiatric or Nurse 1 (CK Post ATC)</a>]"
Nurse 2 Psy/Nurse 1 Hourly (Richard C. Ward ATC),105709,Hourly,"Addiction Services and Supports, Office of ",03/31/23,"[<a href=""vacancyDetailsView.cfm?id=105709"">Nurse 2 Psy/Nurse 1 Hourly (Richard C. Ward ATC)</a>]"
Physical Therapy Assistant 1 or 2 ,105723,14,"People With Developmental Disabilities, Office for",08/19/22,"[<a href=""vacancyDetailsView.cfm?id=105723"">Physical Therapy Assistant 1 or 2 </a>]"
Occupational Therapy Assistant 2,105727,14,"People With Developmental Disabilities, Office for",08/19/22,"[<a href=""vacancyDetailsView.cfm?id=105727"">Occupational Therapy Assistant 2</a>]"
Medical Specialist 2,105742,38,"People With Developmental Disabilities, Office for",11/25/22,"[<a href=""vacancyDetailsView.cfm?id=105742"">Medical Specialist 2</a>]"
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9),105766,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=105766"">Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9)</a>]"
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9),105767,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=105767"">Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9)</a>]"
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9),105768,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=105768"">Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9)</a>]"
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9),105769,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=105769"">Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9)</a>]"
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9),105770,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=105770"">Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9)</a>]"
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9),105771,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=105771"">Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9)</a>]"
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9),105772,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=105772"">Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9)</a>]"
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9),105773,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=105773"">Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9)</a>]"
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9),105774,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=105774"">Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9)</a>]"
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9),105775,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=105775"">Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9)</a>]"
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9),105776,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=105776"">Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9)</a>]"
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9),105777,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=105777"">Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9)</a>]"
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9),105778,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=105778"">Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9)</a>]"
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9),105779,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=105779"">Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9)</a>]"
Nurse 2,105811,16,"Corrections and Community Supervision, Department of ",08/30/22,"[<a href=""vacancyDetailsView.cfm?id=105811"">Nurse 2</a>]"
BSC Representative 1,105812,11,"General Services, Office of ",09/01/22,"[<a href=""vacancyDetailsView.cfm?id=105812"">BSC Representative 1</a>]"
Architect - Downstate Design - NYC,105884,NS,DASNY - Dormitory Authority of the State of New York,08/04/22,"[<a href=""vacancyDetailsView.cfm?id=105884"">Architect - Downstate Design - NYC</a>]"
Engineer- Mechanical - NYC,105888,NS,DASNY - Dormitory Authority of the State of New York,08/04/22,"[<a href=""vacancyDetailsView.cfm?id=105888"">Engineer- Mechanical - NYC</a>]"
"Associate Director Training 1 Mental Hygiene, South Beach Psychiatric Center, P22917",105920,661,"Mental Health, Office of",09/30/22,"[<a href=""vacancyDetailsView.cfm?id=105920"">Associate Director Training 1 Mental Hygiene, South Beach Psychiatric Center, P22917</a>]"
"Secure Care Treatment Aide 1, Western New York Children's Psychiatric Center, P22918",105922,11,"Mental Health, Office of",08/08/22,"[<a href=""vacancyDetailsView.cfm?id=105922"">Secure Care Treatment Aide 1, Western New York Children's Psychiatric Center, P22918</a>]"
Forensic Accountant/Auditor  Medicaid Fraud Control Unit - Hauppauge (MFCU_FAA_HAU_6213),105935,NS,"Attorney General, Office of the",09/02/22,"[<a href=""vacancyDetailsView.cfm?id=105935"">Forensic Accountant/Auditor  Medicaid Fraud Control Unit - Hauppauge (MFCU_FAA_HAU_6213)</a>]"
Addictions Counselor Assistant (CK Post ATC) HOURLY,105948,Hourly,"Addiction Services and Supports, Office of ",06/02/23,"[<a href=""vacancyDetailsView.cfm?id=105948"">Addictions Counselor Assistant (CK Post ATC) HOURLY</a>]"
"Translator (Manual Communications), Box ROM-347/00200",105951,14,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=105951"">Translator (Manual Communications), Box ROM-347/00200</a>]"
"Psychiatrist 2, Children and Youth, Elmira Psychiatric Center, P22936 ",105975,38,"Mental Health, Office of",12/20/22,"[<a href=""vacancyDetailsView.cfm?id=105975"">Psychiatrist 2, Children and Youth, Elmira Psychiatric Center, P22936 </a>]"
"Licensed Master Social Worker 2, Central New York Psychiatric Center, Marcy, Prison Basaed Sex Offender Treatment Program, P22941",105987,20,"Mental Health, Office of",09/01/22,"[<a href=""vacancyDetailsView.cfm?id=105987"">Licensed Master Social Worker 2, Central New York Psychiatric Center, Marcy, Prison Basaed Sex Offender Treatment Program, P22941</a>]"
Medical Specialist 2,105994,38,"People With Developmental Disabilities, Office for",11/25/22,"[<a href=""vacancyDetailsView.cfm?id=105994"">Medical Specialist 2</a>]"
"Secure Care Treatment Aide 1, Secure Care Treatment and Rehabilitation Center, STARC, Oakview, P22943",106007,11,"Mental Health, Office of",09/01/22,"[<a href=""vacancyDetailsView.cfm?id=106007"">Secure Care Treatment Aide 1, Secure Care Treatment and Rehabilitation Center, STARC, Oakview, P22943</a>]"
"Secure Care Treatment Aide 1, Secure Care Treatment and Rehabilitation Center, STARC, Bridgeview, P22944",106008,11,"Mental Health, Office of",09/01/22,"[<a href=""vacancyDetailsView.cfm?id=106008"">Secure Care Treatment Aide 1, Secure Care Treatment and Rehabilitation Center, STARC, Bridgeview, P22944</a>]"
C220077 – Cleaner – Custodial,106027,05,University at Buffalo,11/20/22,"[<a href=""vacancyDetailsView.cfm?id=106027"">C220077 – Cleaner – Custodial</a>]"
Plant Utilities Engineer 1 ,106042,14,"People With Developmental Disabilities, Office for",08/05/22,"[<a href=""vacancyDetailsView.cfm?id=106042"">Plant Utilities Engineer 1 </a>]"
C220079 - Maintenance Supervisor 1 - Campus Operations,106071,14,University at Buffalo,11/23/22,"[<a href=""vacancyDetailsView.cfm?id=106071"">C220079 - Maintenance Supervisor 1 - Campus Operations</a>]"
Psychiatrist 2,106074,38,"People With Developmental Disabilities, Office for",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=106074"">Psychiatrist 2</a>]"
Assistant Solicitor General - Division of Appeals & Opinions NYC (A&O_NYC_ASG_2022),106077,NS,"Attorney General, Office of the",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=106077"">Assistant Solicitor General - Division of Appeals &amp; Opinions NYC (A&amp;O_NYC_ASG_2022)</a>]"
Assistant Solicitor General - Division of Appeals & Opinions Albany (A&O_ALB_ASG_2022),106089,NS,"Attorney General, Office of the",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=106089"">Assistant Solicitor General - Division of Appeals &amp; Opinions Albany (A&amp;O_ALB_ASG_2022)</a>]"
"Pharmacy Aide, Rochester Psychiatric Center, P22952",106099,07,"Mental Health, Office of",08/29/22,"[<a href=""vacancyDetailsView.cfm?id=106099"">Pharmacy Aide, Rochester Psychiatric Center, P22952</a>]"
Dental Hygienist,106134,12,"Corrections and Community Supervision, Department of ",08/01/22,"[<a href=""vacancyDetailsView.cfm?id=106134"">Dental Hygienist</a>]"
Nurse 2,106137,16,"Children & Family Services, Office of ",09/01/22,"[<a href=""vacancyDetailsView.cfm?id=106137"">Nurse 2</a>]"
Senior Utilization Review Nurse,106138,NS,"Corrections and Community Supervision, Department of ",10/01/22,"[<a href=""vacancyDetailsView.cfm?id=106138"">Senior Utilization Review Nurse</a>]"
"Food Service Worker 2, Part-Time, Rockland Children's Psychiatric Center, Food Service, P22955",106199,09,"Mental Health, Office of",08/12/22,"[<a href=""vacancyDetailsView.cfm?id=106199"">Food Service Worker 2, Part-Time, Rockland Children's Psychiatric Center, Food Service, P22955</a>]"
"Dentist 1, Mid-Hudson Forensic Psychiatric Center, P22957",106229,30,"Mental Health, Office of",08/17/22,"[<a href=""vacancyDetailsView.cfm?id=106229"">Dentist 1, Mid-Hudson Forensic Psychiatric Center, P22957</a>]"
"Assistant Counsel, Box OP-1489/21248",106236,NS,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=106236"">Assistant Counsel, Box OP-1489/21248</a>]"
Investigator,106251,NS,"Corrections and Community Supervision, Department of ",12/08/22,"[<a href=""vacancyDetailsView.cfm?id=106251"">Investigator</a>]"
Administrative Assistant 2,106254,NS,"Military and Naval Affairs, Division of ",08/31/22,"[<a href=""vacancyDetailsView.cfm?id=106254"">Administrative Assistant 2</a>]"
Security Services Assistant 1,106257,06,"Military and Naval Affairs, Division of ",08/31/22,"[<a href=""vacancyDetailsView.cfm?id=106257"">Security Services Assistant 1</a>]"
Chief Environmental Branch,106262,NS,"Military and Naval Affairs, Division of ",08/31/22,"[<a href=""vacancyDetailsView.cfm?id=106262"">Chief Environmental Branch</a>]"
Regional General Mechanic,106265,14,"Military and Naval Affairs, Division of ",08/31/22,"[<a href=""vacancyDetailsView.cfm?id=106265"">Regional General Mechanic</a>]"
Maintenance Assistant,106267,09,"Military and Naval Affairs, Division of ",08/31/22,"[<a href=""vacancyDetailsView.cfm?id=106267"">Maintenance Assistant</a>]"
Youth Recreation Specialist 1,106307,14,"Children & Family Services, Office of ",08/01/22,"[<a href=""vacancyDetailsView.cfm?id=106307"">Youth Recreation Specialist 1</a>]"
"Special Assistant Attorney General, Medicaid Fraud Control Unit Hauppauge (MFCU_SAAG_HAU_3472)",106309,NS,"Attorney General, Office of the",09/02/22,"[<a href=""vacancyDetailsView.cfm?id=106309"">Special Assistant Attorney General, Medicaid Fraud Control Unit Hauppauge (MFCU_SAAG_HAU_3472)</a>]"
"Recreation Therapist, Elmira Psychiatric Center, P22960",106316,14,"Mental Health, Office of",09/02/22,"[<a href=""vacancyDetailsView.cfm?id=106316"">Recreation Therapist, Elmira Psychiatric Center, P22960</a>]"
C220084 - Trades Specialist (Electrician) – Campus Operations,106330,12,University at Buffalo,12/01/22,"[<a href=""vacancyDetailsView.cfm?id=106330"">C220084 - Trades Specialist (Electrician) – Campus Operations</a>]"
"Assistant Deputy Attorney General, Organized Crime Task Force White Plains (OCTF_WP_ADAG_3474)",106340,NS,"Attorney General, Office of the",08/05/22,"[<a href=""vacancyDetailsView.cfm?id=106340"">Assistant Deputy Attorney General, Organized Crime Task Force White Plains (OCTF_WP_ADAG_3474)</a>]"
C220087 - Maintenance Assistant - Campus Operations,106346,09,University at Buffalo,12/06/22,"[<a href=""vacancyDetailsView.cfm?id=106346"">C220087 - Maintenance Assistant - Campus Operations</a>]"
C220088 - Facility Operations Assistant 2 (Grounds) - Campus Operations,106348,09,University at Buffalo,12/07/22,"[<a href=""vacancyDetailsView.cfm?id=106348"">C220088 - Facility Operations Assistant 2 (Grounds) - Campus Operations</a>]"
Nurse 2,106382,16,"Children & Family Services, Office of ",09/08/22,"[<a href=""vacancyDetailsView.cfm?id=106382"">Nurse 2</a>]"
Plant Utilities Engineer 1,106392,14,"Corrections and Community Supervision, Department of ",08/09/22,"[<a href=""vacancyDetailsView.cfm?id=106392"">Plant Utilities Engineer 1</a>]"
"Child Care Aide 1, (1 position on third shift), Box ROM-360/00714",106410,09,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=106410"">Child Care Aide 1, (1 position on third shift), Box ROM-360/00714</a>]"
Clinical Physician 1 or 2 (Hourly - Kingsboro Addiction Treatment Center),106440,Hourly,"Addiction Services and Supports, Office of ",08/31/22,"[<a href=""vacancyDetailsView.cfm?id=106440"">Clinical Physician 1 or 2 (Hourly - Kingsboro Addiction Treatment Center)</a>]"
Clinical Physician 1 or 2 OR Medical Specialist 1 (Kingsboro Addiction Treatment Center),106441,36,"Addiction Services and Supports, Office of ",08/31/22,"[<a href=""vacancyDetailsView.cfm?id=106441"">Clinical Physician 1 or 2 OR Medical Specialist 1 (Kingsboro Addiction Treatment Center)</a>]"
Youth Facility Assistant Director 3 - Treatment Services,106460,661,"Children & Family Services, Office of ",08/01/22,"[<a href=""vacancyDetailsView.cfm?id=106460"">Youth Facility Assistant Director 3 - Treatment Services</a>]"
Licensed Practical Nurse (Hourly) - R. C. Ward Addiction Treatment Center,106475,NS,"Addiction Services and Supports, Office of ",06/10/23,"[<a href=""vacancyDetailsView.cfm?id=106475"">Licensed Practical Nurse (Hourly) - R. C. Ward Addiction Treatment Center</a>]"
"Pharmacy Aide, Bronx Psychiatric Center, P22985",106491,07,"Mental Health, Office of",08/02/22,"[<a href=""vacancyDetailsView.cfm?id=106491"">Pharmacy Aide, Bronx Psychiatric Center, P22985</a>]"
"Dietitian 2, Bronx Psychiatric Center, P22986",106492,18,"Mental Health, Office of",08/02/22,"[<a href=""vacancyDetailsView.cfm?id=106492"">Dietitian 2, Bronx Psychiatric Center, P22986</a>]"
"Dietitian Technician, Bronx Psychiatric Center, P22987",106495,11,"Mental Health, Office of",08/02/22,"[<a href=""vacancyDetailsView.cfm?id=106495"">Dietitian Technician, Bronx Psychiatric Center, P22987</a>]"
"Rehabilitation Counselor 2, Central New York Psychiatric Center – Gouverneur Satellite Unit, P22989",106502,19,"Mental Health, Office of",08/22/22,"[<a href=""vacancyDetailsView.cfm?id=106502"">Rehabilitation Counselor 2, Central New York Psychiatric Center – Gouverneur Satellite Unit, P22989</a>]"
"Mental Hygiene Program Evaluation Specialist 2, Central New York Psychiatric Center, P22991",106581,18,"Mental Health, Office of",08/22/22,"[<a href=""vacancyDetailsView.cfm?id=106581"">Mental Hygiene Program Evaluation Specialist 2, Central New York Psychiatric Center, P22991</a>]"
"Licensed Psychologist, Central New York Psychiatric Center, Marcy, 22993",106586,25,"Mental Health, Office of",08/02/22,"[<a href=""vacancyDetailsView.cfm?id=106586"">Licensed Psychologist, Central New York Psychiatric Center, Marcy, 22993</a>]"
Associate Psychologist,106615,23,"Children & Family Services, Office of ",09/13/22,"[<a href=""vacancyDetailsView.cfm?id=106615"">Associate Psychologist</a>]"
Maintenance Assistant ,106624,09,Thruway Authority,08/31/22,"[<a href=""vacancyDetailsView.cfm?id=106624"">Maintenance Assistant </a>]"
Nurse 2,106651,NS,"Children & Family Services, Office of ",09/01/22,"[<a href=""vacancyDetailsView.cfm?id=106651"">Nurse 2</a>]"
Nurse 2,106652,NS,"Children & Family Services, Office of ",09/01/22,"[<a href=""vacancyDetailsView.cfm?id=106652"">Nurse 2</a>]"
Nurse 2,106656,NS,"Children & Family Services, Office of ",09/01/22,"[<a href=""vacancyDetailsView.cfm?id=106656"">Nurse 2</a>]"
Sr. Application Solution Developer,106660,NS,DASNY - Dormitory Authority of the State of New York,08/04/22,"[<a href=""vacancyDetailsView.cfm?id=106660"">Sr. Application Solution Developer</a>]"
Nurse 2,106718,NS,"Children & Family Services, Office of ",09/01/22,"[<a href=""vacancyDetailsView.cfm?id=106718"">Nurse 2</a>]"
Nurse 2,106719,NS,"Children & Family Services, Office of ",09/01/22,"[<a href=""vacancyDetailsView.cfm?id=106719"">Nurse 2</a>]"
Sr. Field Representative NYC - Construction,106723,NS,DASNY - Dormitory Authority of the State of New York,08/04/22,"[<a href=""vacancyDetailsView.cfm?id=106723"">Sr. Field Representative NYC - Construction</a>]"
"Medical Analyst, Medicaid Fraud Control Unit (MFCU_NYC_MA_6220)",106749,NS,"Attorney General, Office of the",09/02/22,"[<a href=""vacancyDetailsView.cfm?id=106749"">Medical Analyst, Medicaid Fraud Control Unit (MFCU_NYC_MA_6220)</a>]"
"Assistant Counsel, Box OP-1408/21144",106775,NS,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=106775"">Assistant Counsel, Box OP-1408/21144</a>]"
"Director, Sustainability, Energy, and Environmental Programs ",106815,NS,DASNY - Dormitory Authority of the State of New York,08/04/22,"[<a href=""vacancyDetailsView.cfm?id=106815"">Director, Sustainability, Energy, and Environmental Programs </a>]"
Nurse 2,106821,NS,"Children & Family Services, Office of ",09/16/22,"[<a href=""vacancyDetailsView.cfm?id=106821"">Nurse 2</a>]"
Nurse 2,106822,NS,"Children & Family Services, Office of ",09/16/22,"[<a href=""vacancyDetailsView.cfm?id=106822"">Nurse 2</a>]"
Licensed Master Social Worker 2,106843,20,"Corrections and Community Supervision, Department of ",08/16/22,"[<a href=""vacancyDetailsView.cfm?id=106843"">Licensed Master Social Worker 2</a>]"
TEMPORARY SEASONAL - Maintenance Helper - Rochester AASF - Anticipated duration of employment thru 10/19/22,106844,Hourly,"Military and Naval Affairs, Division of ",08/31/22,"[<a href=""vacancyDetailsView.cfm?id=106844"">TEMPORARY SEASONAL - Maintenance Helper - Rochester AASF - Anticipated duration of employment thru 10/19/22</a>]"
TEMPORARY SEASONAL - Maintenance Helper - Ronkonkoma - Anticipated duration of employment thru 10/19/22,106845,Hourly,"Military and Naval Affairs, Division of ",08/31/22,"[<a href=""vacancyDetailsView.cfm?id=106845"">TEMPORARY SEASONAL - Maintenance Helper - Ronkonkoma - Anticipated duration of employment thru 10/19/22</a>]"
TEMPORARY SEASONAL - Maintenance Assistant - Camp Smith Training Site - Anticipated duration of employment thru 10/19/2022,106846,Hourly,"Military and Naval Affairs, Division of ",08/31/22,"[<a href=""vacancyDetailsView.cfm?id=106846"">TEMPORARY SEASONAL - Maintenance Assistant - Camp Smith Training Site - Anticipated duration of employment thru 10/19/2022</a>]"
TEMPORARY SEASONAL - Maintenance Helper - Staten Island CSMS - Anticipated duration of employment thru 10/19/2022,106847,Hourly,"Military and Naval Affairs, Division of ",08/31/22,"[<a href=""vacancyDetailsView.cfm?id=106847"">TEMPORARY SEASONAL - Maintenance Helper - Staten Island CSMS - Anticipated duration of employment thru 10/19/2022</a>]"
TEMPORARY SEASONAL - Maintenance Helper - Farmingdale FMS - Anticipated duration of employment thru 10/19/2022,106848,Hourly,"Military and Naval Affairs, Division of ",08/31/22,"[<a href=""vacancyDetailsView.cfm?id=106848"">TEMPORARY SEASONAL - Maintenance Helper - Farmingdale FMS - Anticipated duration of employment thru 10/19/2022</a>]"
TEMPORARY SEASONAL - Maintenance Helper - Fort Drum (MATES) - Anticipated duration of employment thru 10/19/2022,106849,Hourly,"Military and Naval Affairs, Division of ",08/31/22,"[<a href=""vacancyDetailsView.cfm?id=106849"">TEMPORARY SEASONAL - Maintenance Helper - Fort Drum (MATES) - Anticipated duration of employment thru 10/19/2022</a>]"
TEMPORARY SEASONAL - Maintenance Helper - Youngstown Armory - Anticipated duration of employment thru 10/19/2022,106850,Hourly,"Military and Naval Affairs, Division of ",08/31/22,"[<a href=""vacancyDetailsView.cfm?id=106850"">TEMPORARY SEASONAL - Maintenance Helper - Youngstown Armory - Anticipated duration of employment thru 10/19/2022</a>]"
TEMPORARY SEASONAL - Maintenance Helper - Latham HQ - Anticipated duration of employment thru 10/19/2022,106851,Hourly,"Military and Naval Affairs, Division of ",08/31/22,"[<a href=""vacancyDetailsView.cfm?id=106851"">TEMPORARY SEASONAL - Maintenance Helper - Latham HQ - Anticipated duration of employment thru 10/19/2022</a>]"
Dietitian II,106877,18,"Health, Department of ",09/01/22,"[<a href=""vacancyDetailsView.cfm?id=106877"">Dietitian II</a>]"
"Research Scientist 4 - Division of Systems Neuroscience, New York State Psychiatric Institute, P23016",106886,27,"Mental Health, Office of",09/29/22,"[<a href=""vacancyDetailsView.cfm?id=106886"">Research Scientist 4 - Division of Systems Neuroscience, New York State Psychiatric Institute, P23016</a>]"
Senior Construction Manager_NYC,106943,NS,"Empire State Development, NYS ",08/31/22,"[<a href=""vacancyDetailsView.cfm?id=106943"">Senior Construction Manager_NYC</a>]"
"Computer Operator, Ref #16493 (Provisional & Permanent Opportunities)",106961,10,"Information Technology Services, Office of",10/03/22,"[<a href=""vacancyDetailsView.cfm?id=106961"">Computer Operator, Ref #16493 (Provisional &amp; Permanent Opportunities)</a>]"
"Senior Computer Operator, Ref #16449 (Provisional and Permanent Opportunities)",106962,14,"Information Technology Services, Office of",10/03/22,"[<a href=""vacancyDetailsView.cfm?id=106962"">Senior Computer Operator, Ref #16449 (Provisional and Permanent Opportunities)</a>]"
"Project Manager, Loans & Grants",106963,NS,"Empire State Development, NYS ",08/31/22,"[<a href=""vacancyDetailsView.cfm?id=106963"">Project Manager, Loans &amp; Grants</a>]"
"Assistant Attorney General, Bureau of Consumer Frauds and Protection (CFP_AAG_NYC_3478)",106972,NS,"Attorney General, Office of the",09/02/22,"[<a href=""vacancyDetailsView.cfm?id=106972"">Assistant Attorney General, Bureau of Consumer Frauds and Protection (CFP_AAG_NYC_3478)</a>]"
