Job Title,Job Number,Job Grade,Job Agency,Application Due By
TEMPORARY SEASONAL - Maintenance Helper - Ronkonkoma - Anticipated duration of employment thru 10/19/22,106845,Hourly,"Military and Naval Affairs, Division of ",08/31/22
TEMPORARY SEASONAL - Maintenance Helper - Staten Island CSMS - Anticipated duration of employment thru 10/19/2022,106847,Hourly,"Military and Naval Affairs, Division of ",08/31/22
TEMPORARY SEASONAL - Maintenance Helper - Fort Drum (MATES) - Anticipated duration of employment thru 10/19/2022,106849,Hourly,"Military and Naval Affairs, Division of ",08/31/22
TEMPORARY SEASONAL - Maintenance Helper - Latham HQ - Anticipated duration of employment thru 10/19/2022,106851,Hourly,"Military and Naval Affairs, Division of ",08/31/22
"Research Scientist 4 - Division of Systems Neuroscience, New York State Psychiatric Institute, P23016",106886,27,"Mental Health, Office of",09/29/22
"Computer Operator, Ref #16493 (Provisional & Permanent Opportunities)",106961,10,"Information Technology Services, Office of",10/03/22
"Project Manager, Loans & Grants",106963,NS,"Empire State Development, NYS ",08/31/22
Addictions Counselor Assistant Hourly Overnights- South Beach ATC,106995,Hourly,"Addiction Services and Supports, Office of ",08/31/22
Youth Support Assistant (Hourly),107022,NS,"Children & Family Services, Office of ",07/31/22
RN2 Registered Nurse 2  RN 2  EOA# 22-105R  Newburgh,107044,16,"People With Developmental Disabilities, Office for",01/07/23
"Associate Psychologist, Central New York Psychiatric Center, Marcy, P23012",107046,23,"Mental Health, Office of",08/05/22
Library Clerk 2 Part Time,107090,NS,"Corrections and Community Supervision, Department of ",12/31/22
"Project Manager, Southern Tier RO",107101,NS,"Empire State Development, NYS ",08/31/22
"Dietitian 2, Creedmoor Psychiatric Center, P23018",107116,18,"Mental Health, Office of",08/05/22
Psychologist 2,107124,23,"Children & Family Services, Office of ",09/22/22
"Cleaner, Rockland Clidren's Psychiatric Center, Cleaner, P23022",107130,05,"Mental Health, Office of",08/15/22
"Teacher 2, 3, 4",107187,13,"Children & Family Services, Office of ",07/31/22
Youth Recreation Specialist 1,107193,14,"Children & Family Services, Office of ",07/31/22
Cook,107211,11,"Children & Family Services, Office of ",07/31/22
"Licensed Master Social Worker 2, Secure Treatment and Rehabilitation Center, STARC, Bridgeview, P23032",107218,20,"Mental Health, Office of",08/16/22
"Licensed Master Social Worker 2, Central New York Psychiatric Center, Attica Satellite Unit, P23036",107226,20,"Mental Health, Office of",08/29/22
"Licensed Master Social Worker 2, Central New York Psychiatric Center, Green Haven Satellite Unit, P23038",107230,20,"Mental Health, Office of",09/01/22
"Rehabilitation Counselor 2, Central New York Psychiatric Center – Elmira Satellite Unit, P23041",107236,19,"Mental Health, Office of",08/04/22
"Food Service Worker 1, Secure Treatment and Rehabilitation Center, STARC, Oakview, Marcy, Food Service, P22694",107284,05,"Mental Health, Office of",08/04/22
"Director, Internal Audit",107293,NS,"Military and Naval Affairs, Division of ",09/30/22
Thruway Maintenance Worker (Trainee),107302,NS,Thruway Authority,08/31/22
"Assistant Attorney General, Civil Rights Bureau(CRI_NYC_AAG_3480)",107308,NS,"Attorney General, Office of the",08/05/22
Information Technology Specialist 2 (Programming) – Tax Modernization,107340,NS,"Information Technology Services, Office of",08/01/22
Bridge Repair Assistant /Bridge Repair Assistant Trainee 1/Bridge Repair Assistant Trainee 2 (Region 4- Pittsford),107354,NS,"Transportation, Department of ",08/29/22
Bridge Repair Assistant /Bridge Repair Assistant Trainee 1/Bridge Repair Assistant Trainee 2 (Region 4- Batavia),107356,NS,"Transportation, Department of ",08/29/22
"Nurse 1 / Nurse 2, Psychiatric, Capital District Psychiatric Center, NP22127",107380,16,"Mental Health, Office of",09/29/22
"Nurse Practitioner (Psychiatry), Bronx Psychiatric Center, NP22129",107387,24,"Mental Health, Office of",09/29/22
"Nurse Practitioner (Psychiatry), Greater Binghamton Health Center, NP22077",107391,24,"Mental Health, Office of",09/29/22
"Nurse Practitioner (Psychiatry), Capital District Psychiatric Center, NP22126",107394,24,"Mental Health, Office of",09/29/22
"Nurse 1 / Nurse 2, Psychiatric, Elmira Psychiatric Center, NP22132",107409,16,"Mental Health, Office of",09/29/22
"Nurse 1 / Nurse 2, Psychiatric, Elmira Children and Youth Psychiatric Center, NP22134",107414,16,"Mental Health, Office of",09/29/22
"Nurse 1 / Nurse 2, Psychiatric, Western New York Children's Psychiatric Center, NP22136",107418,16,"Mental Health, Office of",09/29/22
"Nurse 1 / Nurse 2, Psychiatric, Kingsboro Psychiatric Center, NP22138",107421,16,"Mental Health, Office of",09/29/22
"Nurse 1 / Nurse 2, Psychiatric, Rochester Psychiatric Center, NP22140",107431,16,"Mental Health, Office of",09/29/22
Addictions Counselor Assistant - HOURLY (Creedmoor ATC),107438,Hourly,"Addiction Services and Supports, Office of ",08/31/22
"Nurse 1 / Nurse 2, Psychiatric, Washington Heights Psychiatric Center, NP22143",107445,16,"Mental Health, Office of",09/29/22
"Nurse 1 / Nurse 2, Psychiatric, Mohawk Valley Psychiatric Center, NP22145",107447,16,"Mental Health, Office of",09/29/22
"Nurse 1, Hutchings Psychiatric Center, NP22147",107450,14,"Mental Health, Office of",09/29/22
"Nurse 1 / Nurse 2, Psychiatric, Hutchings Children and Youth Psychiatric Center, NP22149",107460,16,"Mental Health, Office of",09/29/22
"Nurse Practitioner (Psychiatry), Manhattan Psychiatric Center, NP22151",107463,24,"Mental Health, Office of",09/29/22
"Nurse 1 /Nurse 2, Psychiatric, Kirby Forensic Psychiatric Center, NP22153",107467,16,"Mental Health, Office of",09/29/22
"Nurse 1 / Nurse 2, Psychiatric, South Beach Psychiatric Center, NP22155",107469,16,"Mental Health, Office of",09/29/22
"Nurse Practitioner (Psychiatry), Rockland Psychiatric Center, NP22157",107472,24,"Mental Health, Office of",09/29/22
"Nurse 2 Psychiatric, Mohawk Valley Psychiatric Center – Children and Youth, NP22159",107479,16,"Mental Health, Office of",09/29/22
"Nurse 1 / Nurse 2, Psychiatric, St. Lawrence Psychiatric Center, NP22160",107485,16,"Mental Health, Office of",09/29/22
"Nurse 1, St. Lawrence Psychiatric Center Children and Youth, NP22162",107489,14,"Mental Health, Office of",09/29/22
"Nurse 1 / Nurse 2, Psychiatric, Mid-Hudson Forensic Psychiatric Center, NP22164",107493,16,"Mental Health, Office of",09/29/22
"Nurse Practitioner (Psychiatry), New York City Children's Center, NP22166",107495,24,"Mental Health, Office of",09/29/22
 Grant Program Assistant(2 Positions),107497,NS,DASNY - Dormitory Authority of the State of New York,08/04/22
"Nurse Practitioner (Psychiatry), Rockland Children’s Psychiatric Center, NP22169",107499,24,"Mental Health, Office of",09/29/22
"Nurse Practitioner (Psychiatric), Pilgrim Psychiatric Center, NP22170",107501,24,"Mental Health, Office of",09/29/22
"Nurse 2 Psychiatric, Secure Treatment and Rehabilitation Center - Bridgeview - NP22172",107504,16,"Mental Health, Office of",09/29/22
"Nurse Practitioner (Psychiatry), Western New York Children's Psychiatric Center, NP22174",107507,24,"Mental Health, Office of",09/29/22
"Nurse Practitioner (Psychiatry), Mohawk Valley Psychiatric Center, NP22176",107510,24,"Mental Health, Office of",09/29/22
"Nurse Practitioner (Psychiatry), Sagamore Children's Psychiatric Center, NP22178",107514,24,"Mental Health, Office of",09/29/22
"Medical Specialist 1/2, St. Lawrence Psychiatric Center, Children and Youth, Physician, PP22086",107521,38,"Mental Health, Office of",09/29/22
"Medical Specialist 2, Creedmoor Psychiatric Center, Physician, PP22088",107524,38,"Mental Health, Office of",09/29/22
"Medical Specialist 1, Central New York Psychiatric Center, Marcy, Physician, PP22089",107528,35,"Mental Health, Office of",09/29/22
"Medical Specialist 2, Greater Binghamton Health Center, Physician, PP22091",107537,38,"Mental Health, Office of",09/29/22
"Medical Specialist 2, Buffalo Psychiatric Center, Physician, PP22093",107539,38,"Mental Health, Office of",09/29/22
"Psychiatrist 1 / Psychiatrist 2, Children and Youth, Sagamore Psychiatric Center, PP22095",107542,38,"Mental Health, Office of",09/29/22
"Psychiatrist 1 and Psychiatrist 2, Central New York Psychiatric Center, Marcy Inpatient Units Only, PP22097",107545,38,"Mental Health, Office of",09/29/22
"Psychiatrist 1 and Psychiatrist 2, Bronx Psychiatric Center - Spanish Language, PP22099",107549,38,"Mental Health, Office of",09/29/22
"Telepsychiatry Psychiatrist Positions, Rockland Psychiatric Center, PP22101",107557,38,"Mental Health, Office of",09/29/22
"Psychiatrist 1 and Psychiatrist 2, Capital District Psychiatric Center, PP22103   ",107560,38,"Mental Health, Office of",09/29/22
Deputy Bureau Chief - Investor Protection Bureau NYC (IPB_ NYC_DBC_3482),107562,NS,"Attorney General, Office of the",08/12/22
"Psychiatrist 1 and Psychiatrist 2, Rochester Psychiatric Center, PP22106",107564,38,"Mental Health, Office of",09/29/22
"Psychiatrist 1 and Psychiatrist 2, South Beach Psychiatric Center, PP22108",107567,38,"Mental Health, Office of",09/29/22
"Psychiatrist 1 and Psychiatrist 2, Mohawk Valley Psychiatric Center, PP22110",107572,38,"Mental Health, Office of",09/29/22
"Psychiatrist 1 and Psychiatrist 2, Creedmoor Psychiatric Center, (Full-Time and Part-Time positions available) PP22112",107575,38,"Mental Health, Office of",09/29/22
"Psychiatrist 1 and Psychiatrist 2, Buffalo Psychiatric Center, PP22114",107578,38,"Mental Health, Office of",09/29/22
"Clinical Physician 1 / Clinical Physician 2, St Lawrence Psychiatric Center, Physician, PP22116",107581,34,"Mental Health, Office of",09/29/22
"Clinical Physician 2, Rockland Psychiatric Center, Physician, PP22080",107583,36,"Mental Health, Office of",09/29/22
"Clinical Physician 2, Rockland Psychiatric Center, Physician, PP22118",107585,36,"Mental Health, Office of",09/29/22
"Forensic Telepsychiatry, Central New York Psychiatric Center – Albany VTC Unit, PP22120",107588,38,"Mental Health, Office of",09/29/22
"Psychiatrist 1 - 2, Children and Youth, New York City Children's Center, Queens Campus, PP22122",107591,38,"Mental Health, Office of",09/29/22
Helpdesk Support,107614,NS,DASNY - Dormitory Authority of the State of New York,08/18/22
Print Equipment/Mainframe Operator (Computer Operator)(3rd Shift - Night) - Item #08211& #08215,107630,10,"State Comptroller, Office of the ",08/02/22
" Financial Services Specialists 1, 2 and 4 (Cyber Security)",107641,27,"Financial Services, Department of",08/15/22
Facility Assistant/Digital Printing,107667,05,"Senate, NYS",08/12/22
"Professional Engineer 1 (Environmental), Central Office;",107678,24,"Mental Health, Office of",07/31/22
"Cleaner, Rockland Clidren's Psychiatric Center, Part-Time, Cleaner, P23056",107696,05,"Mental Health, Office of",08/02/22
Senior Financial Services Regulatory Policy and Accounting Officer,107709,665,"Financial Services, Department of",07/31/22
Youth Support Specialist (Hourly),107732,NS,"Children & Family Services, Office of ",08/01/22
"Kirby Forensic Psychiatric Center, Security Hospital Treatment Assistant (SHTA)– Direct Care Position, P23065",107757,14,"Mental Health, Office of",08/09/22
"Central New York Psychiatric Center, Security Hospital Treatment Assistant (SHTA)– Direct Care Position, P23066",107762,14,"Mental Health, Office of",08/09/22
"Special Litigation Counsel, Litigation Bureau (LIT_NYC_SLC_3483)",107775,NS,"Attorney General, Office of the",08/19/22
"Assistant Attorney General, Law Enforcement Misconduct Investigative Office (LEM_BUF_AAG_3484)",107785,NS,"Attorney General, Office of the",08/12/22
"Motor Vehicle Operator, Buffalo Psychiatric Center, P23070",107793,07,"Mental Health, Office of",08/03/22
Plant Utilities Engineer 1,107806,14,"Corrections and Community Supervision, Department of ",08/06/22
"Psychiatrist 3, Rockland Psychiatric Center. P23075",107827,668,"Mental Health, Office of",08/12/22
"Licensed Master Social Worker 1, Kingsboro Psychiatric Center, Mary Brooks, P23076",107829,18,"Mental Health, Office of",08/22/22
Youth Support Assistant (Hourly),107833,NS,"Children & Family Services, Office of ",08/06/22
"Licensed Mental Health Counselor, Secure Treatment and Rehabilitation Center, STARC - Oakview, P23084",107859,19,"Mental Health, Office of",09/29/22
RN2 Registered Nurse  RN 2 EOA# 22-039R  Orange County evening,107864,16,"People With Developmental Disabilities, Office for",01/07/23
"Licensed Mental Health Counselor, St. Lawrence Psychiatric Center, P23087",107868,19,"Mental Health, Office of",12/29/22
RN2 Temp Hourly Registered Nurse RN 2  EOA# 22-045R,107871,16,"People With Developmental Disabilities, Office for",01/07/23
RN2 Registered Nurse 2  RN 2   EOA# 21-019R,107874,16,"People With Developmental Disabilities, Office for",01/07/23
"Licensed Mental Health Counselor, Office of Mental Health Psychiatric Centers, Statewide,  P23090",107876,19,"Mental Health, Office of",08/12/22
Youth Support Specialist (Hourly),107878,NS,"Children & Family Services, Office of ",07/31/22
"Licensed Mental Health Counselor, Central New York Psychiatric Center, Upstate Satellite Unit, P23093",107885,19,"Mental Health, Office of",08/31/22
Clinical Physician,107888,36,"Corrections and Community Supervision, Department of ",08/02/22
Service & Repair Mechanic ,107893,12,"Corrections and Community Supervision, Department of ",09/01/22
"Assistant Counsel, Box OP-1456/21250",107907,NS,"Education Department, State",12/02/23
Office Assistant 1 (Stores  Mail),107920,06,"Corrections and Community Supervision, Department of ",08/01/22
Portfolio Operations Specialist (multiple positions),107930,NS,"Insurance Fund, State ",10/07/22
Highway Maintenance Worker 1 / Tr 2 / Tr 1 (Region 1),107935,06,"Transportation, Department of ",12/31/22
Service and Repair Mechanic Motor Equipment Region 1 -Albany Co,107937,12,"Transportation, Department of ",12/31/22
Highway Maintenance Worker 1 / Tr 2 / Tr 1 (Region 1),107939,06,"Transportation, Department of ",12/31/22
Service and Repair Mechanic Motor Equipment( Region 1 -Essex Co).,107941,12,"Transportation, Department of ",12/31/22
Highway Maintenance Worker 1 / Tr 2 / Tr 1 (Region 1),107943,06,"Transportation, Department of ",12/31/22
Service and Repair Mechanic Motor Equipment (Region 1-Greene Co) ,107945,12,"Transportation, Department of ",12/31/22
Service and Repair Mechanic Motor Equipment( Region 1-Saratoga Co) ,107947,12,"Transportation, Department of ",12/31/22
Service and Repair Mechanic Motor Equipment (Region 1-Warren Co. ) ,107949,12,"Transportation, Department of ",12/31/22
"Licensed Practical Nurse, Kingsboro Psychiatric Center, Road to Success, P23098",107952,10,"Mental Health, Office of",08/30/22
Director of Immigrant Workers Services - New York City,107963,663,"Labor, Department of ",08/08/22
"Licensed Master Social Worker 2, Western New York Children's Psychiatric Center, P23102",107968,20,"Mental Health, Office of",08/19/22
Education Counselor,107991,19,"Corrections and Community Supervision, Department of ",08/31/22
Dentist 1,108050,30,"Corrections and Community Supervision, Department of ",09/01/22
Youth Counselor 1,108074,18,"Children & Family Services, Office of ",08/08/22
Administrative Assistant 1,108092,11,"Corrections and Community Supervision, Department of ",08/30/22
Associate Psychologist ,108099,23,"People With Developmental Disabilities, Office for",10/15/22
Associate Psychologist ,108101,23,"People With Developmental Disabilities, Office for",10/15/22
Associate Psychologist ,108103,23,"People With Developmental Disabilities, Office for",10/15/22
Associate Psychologist ,108106,23,"People With Developmental Disabilities, Office for",10/15/22
Associate Psychologist ,108108,23,"People With Developmental Disabilities, Office for",10/15/22
Associate Psychologist ,108110,23,"People With Developmental Disabilities, Office for",10/15/22
Medicaid Redesign Analyst 1 - 99946,108117,18,"Health, Department of ",08/29/22
Cleaner (Hourly),108133,NS,"Children & Family Services, Office of ",08/15/22
Medical Specialist 2 - Broome,108141,38,"People With Developmental Disabilities, Office for",12/31/22
Deputy Counsel,108143,NS,Executive Chamber of New York State,08/01/22
Senior Counsel/Assistant Counsel,108145,NS,Executive Chamber of New York State,08/01/22
Psychiatrist 2 - Broome,108149,38,"People With Developmental Disabilities, Office for",12/31/22
"Associate in Education of Children with Disabilities, Box PIMS-566/05055",108160,26,"Education Department, State",08/02/22
Youth Recreation Specialist 1,108163,14,"Children & Family Services, Office of ",08/01/22
Vocational Specialist 1,108166,18,"Children & Family Services, Office of ",08/08/22
Senior Engineering Technician/Engineering Technician Trainee (Region 3),108180,13,"Transportation, Department of ",08/11/22
Addictions Counselor Assistant (CK Post ATC),108208,11,"Addiction Services and Supports, Office of ",08/06/22
Youth Support Specialist (Perm),108216,14,"Children & Family Services, Office of ",08/17/22
Youth Recreation Specialist 2,108220,16,"Children & Family Services, Office of ",08/01/22
Housekeeping/Floor Stripping/Waxing Position,108233,05,College of Optometry,12/01/22
"Contract Management Specialist 1, Contract Management Specialist Trainee 1, Box CFO-539/60286",108238,18,"Education Department, State",08/02/22
Electrical Engineer,108243,25,State University Construction Fund,09/30/22
Construction Project Manager,108245,23,State University Construction Fund,09/30/22
"Project Assistant, (Three Positions), Box OHE-913/51554, 51555, 51556",108250,NS,"Education Department, State",07/13/24
Service and Repair Mechanic (Motor Equipment) ,108254,12,Thruway Authority,07/31/22
Standards Compliance Analyst 1,108269,18,"Children & Family Services, Office of ",08/15/22
LPN  Licensed Practical Nurse  EOA# 22-237,108272,10,"People With Developmental Disabilities, Office for",01/07/23
RN2  Registered Nurse 2  RN 2  EOA# 22-040R   Night,108275,16,"People With Developmental Disabilities, Office for",01/07/23
"Psychologist 2, Secure Treatment and Rehabilitaion Center, STARC, Oakview, P23107",108285,23,"Mental Health, Office of",08/03/22
DDSCTA 1/Trainee (Developmental Disabilities Secure Care Treatment Aide),108302,11,"People With Developmental Disabilities, Office for",10/15/22
Direct Support Assistant,108304,09,"People With Developmental Disabilities, Office for",10/15/22
Direct Support Assistant,108306,09,"People With Developmental Disabilities, Office for",10/15/22
Direct Support Assistant,108308,09,"People With Developmental Disabilities, Office for",10/15/22
Direct Support Assistant,108311,09,"People With Developmental Disabilities, Office for",10/15/22
NYC Regional Coordinator (Special Assistant),108313,NS,"Children & Family Services, Office of ",09/06/22
Direct Support Assistant,108316,09,"People With Developmental Disabilities, Office for",10/15/22
Direct Support Assistant,108318,09,"People With Developmental Disabilities, Office for",10/15/22
Direct Support Assistant,108320,09,"People With Developmental Disabilities, Office for",10/15/22
Direct Support Assistant,108323,09,"People With Developmental Disabilities, Office for",10/15/22
Nurse 2 NYS Veterans Home at Montrose,108330,16,"Health, Department of ",12/31/22
Certified Nursing Assistant,108334,08,"Health, Department of ",12/31/22
Digital Forensic Manager - Upstate Regional Office,108336,NS,"State Inspector General, Office of ",08/14/22
Food Service Worker 2,108338,09,"Health, Department of ",09/01/22
Direct Support Assistant,108344,09,"People With Developmental Disabilities, Office for",10/15/22
Direct Support Assistant,108346,09,"People With Developmental Disabilities, Office for",10/15/22
Direct Support Assistant,108348,09,"People With Developmental Disabilities, Office for",10/15/22
Direct Support Assistant,108351,09,"People With Developmental Disabilities, Office for",10/15/22
Direct Support Assistant,108353,09,"People With Developmental Disabilities, Office for",10/15/22
Direct Support Assistant,108355,09,"People With Developmental Disabilities, Office for",10/15/22
Direct Support Assistant,108358,09,"People With Developmental Disabilities, Office for",10/15/22
Direct Support Assistant,108360,09,"People With Developmental Disabilities, Office for",10/15/22
Direct Support Assistant,108363,09,"People With Developmental Disabilities, Office for",10/15/22
Direct Support Assistant,108365,09,"People With Developmental Disabilities, Office for",10/15/22
Direct Support Assistant,108367,09,"People With Developmental Disabilities, Office for",10/15/22
Direct Support Assistant,108369,09,"People With Developmental Disabilities, Office for",10/15/22
Direct Support Assistant,108371,09,"People With Developmental Disabilities, Office for",10/15/22
Direct Support Assistant,108373,09,"People With Developmental Disabilities, Office for",10/15/22
Direct Support Assistant,108377,09,"People With Developmental Disabilities, Office for",10/15/22
Direct Support Assistant,108379,09,"People With Developmental Disabilities, Office for",10/15/22
Direct Support Assistant,108381,09,"People With Developmental Disabilities, Office for",10/15/22
Direct Support Assistant,108383,09,"People With Developmental Disabilities, Office for",10/15/22
Direct Support Assistant,108385,09,"People With Developmental Disabilities, Office for",10/15/22
Direct Support Assistant,108388,09,"People With Developmental Disabilities, Office for",10/15/22
Direct Support Assistant,108390,09,"People With Developmental Disabilities, Office for",10/15/22
Direct Support Assistant,108392,09,"People With Developmental Disabilities, Office for",10/15/22
Direct Support Assistant,108394,09,"People With Developmental Disabilities, Office for",10/15/22
Licensed Psychologist,108396,25,"People With Developmental Disabilities, Office for",10/15/22
Assistant Engineer (Civil/Transport),108398,20,Thruway Authority,08/31/22
Licensed Psychologist,108400,25,"People With Developmental Disabilities, Office for",10/15/22
Licensed Psychologist,108402,25,"People With Developmental Disabilities, Office for",10/15/22
Licensed Psychologist,108404,25,"People With Developmental Disabilities, Office for",10/15/22
Licensed Psychologist,108406,25,"People With Developmental Disabilities, Office for",10/15/22
Licensed Psychologist,108408,25,"People With Developmental Disabilities, Office for",10/15/22
Psychologist 1/2,108411,21,"People With Developmental Disabilities, Office for",10/15/22
Psychologist 1/2,108414,21,"People With Developmental Disabilities, Office for",10/15/22
Psychologist 1/2,108416,21,"People With Developmental Disabilities, Office for",10/15/22
Psychologist 1/2,108418,21,"People With Developmental Disabilities, Office for",10/15/22
Psychologist 1/2,108420,21,"People With Developmental Disabilities, Office for",10/15/22
Psychologist 1/2,108423,21,"People With Developmental Disabilities, Office for",10/15/22
"Application Developer/Analyst, IT (Ref#SJ006)",108429,NS,"Empire State Development, NYS ",08/14/22
Artificial Intelligence Engineer,108435,NS,"Empire State Development, NYS ",08/14/22
"Associate or Senior Counsel, Corporate/Real Estate",108438,NS,"Empire State Development, NYS ",08/14/22
"Project Assistant, Box PIMS-573/51518",108446,NS,"Education Department, State",08/04/22
Administrative Assistant/Regional Office – Western NY_Buffalo   ,108472,NS,"Empire State Development, NYS ",09/14/22
"Vice President, Planning and Environmental Review",108475,NS,"Empire State Development, NYS ",09/14/22
Licensed Practical Nurse ,108477,10,"People With Developmental Disabilities, Office for",10/15/22
Licensed Practical Nurse ,108479,10,"People With Developmental Disabilities, Office for",10/15/22
Licensed Practical Nurse ,108481,10,"People With Developmental Disabilities, Office for",10/15/22
Licensed Practical Nurse ,108484,10,"People With Developmental Disabilities, Office for",10/15/22
Licensed Practical Nurse ,108486,10,"People With Developmental Disabilities, Office for",10/15/22
Licensed Practical Nurse,108488,10,"People With Developmental Disabilities, Office for",10/15/22
"Director, Life Sciences",108490,NS,"Empire State Development, NYS ",09/14/22
Licensed Practical Nurse,108495,10,"People With Developmental Disabilities, Office for",10/15/22
Licensed Practical Nurse ,108505,10,"People With Developmental Disabilities, Office for",10/15/22
Licensed Practical Nurse ,108507,10,"People With Developmental Disabilities, Office for",10/15/22
"Deputy Director, Workforce Development - NYC or Albany	",108509,NS,"Empire State Development, NYS ",09/14/22
"Health Information Management Technician 2, Buffalo Psychiatric Center, P23114",108511,15,"Mental Health, Office of",08/04/22
"Education Credentials Specialist 1, Education Credentials Specialist Trainee 1, Box OP-1527/43235",108516,18,"Education Department, State",08/04/22
"Medical Specialist 2, Manhattan Psychiatric Center, Physician, P23117",108518,38,"Mental Health, Office of",08/02/22
"Data and Metrics Manager, Workforce Development ",108521,NS,"Empire State Development, NYS ",09/14/22
Licensed Practical Nurse ,108526,10,"People With Developmental Disabilities, Office for",10/15/22
Licensed Practical Nurse ,108528,10,"People With Developmental Disabilities, Office for",10/15/22
Licensed Practical Nurse ,108530,10,"People With Developmental Disabilities, Office for",10/15/22
Licensed Practical Nurse ,108533,10,"People With Developmental Disabilities, Office for",10/15/22
Licensed Practical Nurse ,108535,10,"People With Developmental Disabilities, Office for",10/15/22
Licensed Practical Nurse ,108537,10,"People With Developmental Disabilities, Office for",10/15/22
Licensed Practical Nurse ,108539,10,"People With Developmental Disabilities, Office for",10/15/22
Licensed Practical Nurse ,108541,10,"People With Developmental Disabilities, Office for",10/15/22
Licensed Practical Nurse ,108544,10,"People With Developmental Disabilities, Office for",10/15/22
Licensed Practical Nurse ,108546,10,"People With Developmental Disabilities, Office for",10/15/22
Licensed Practical Nurse ,108548,10,"People With Developmental Disabilities, Office for",10/15/22
Licensed Practical Nurse ,108550,10,"People With Developmental Disabilities, Office for",10/15/22
Licensed Practical Nurse ,108552,10,"People With Developmental Disabilities, Office for",10/15/22
Licensed Practical Nurse ,108554,10,"People With Developmental Disabilities, Office for",10/15/22
Licensed Practical Nurse ,108556,10,"People With Developmental Disabilities, Office for",10/15/22
Licensed Practical Nurse ,108558,10,"People With Developmental Disabilities, Office for",10/15/22
Licensed Practical Nurse ,108560,10,"People With Developmental Disabilities, Office for",10/15/22
Licensed Practical Nurse ,108562,10,"People With Developmental Disabilities, Office for",10/15/22
Licensed Practical Nurse,108564,10,"People With Developmental Disabilities, Office for",10/15/22
Licensed Practical Nurse ,108566,10,"People With Developmental Disabilities, Office for",10/15/22
Licensed Practical Nurse ,108568,10,"People With Developmental Disabilities, Office for",10/15/22
Licensed Practical Nurse ,108570,10,"People With Developmental Disabilities, Office for",10/15/22
Nurse 2 ,108572,16,"People With Developmental Disabilities, Office for",10/15/22
Nurse 2 ,108574,16,"People With Developmental Disabilities, Office for",10/15/22
Nurse 2 ,108578,16,"People With Developmental Disabilities, Office for",10/15/22
"Associate Psychologist, Central New York Psychiatric Center, Marcy, Prison Based Sex Offender Treatment program, P23123",108581,23,"Mental Health, Office of",08/02/22
Nurse 2 ,108583,16,"People With Developmental Disabilities, Office for",10/15/22
"Motor Vehicle Operator, Rochester Psychiatric Center, P23124",108585,07,"Mental Health, Office of",08/03/22
"Chief Housekeeper 2, Kingsboro Psychiatric Center, P23125",108587,20,"Mental Health, Office of",08/03/22
Nurse 2 ,108595,16,"People With Developmental Disabilities, Office for",10/15/22
Nurse 2 ,108597,16,"People With Developmental Disabilities, Office for",10/15/22
Nurse 2,108600,16,"People With Developmental Disabilities, Office for",10/15/22
Nurse 2,108612,16,"People With Developmental Disabilities, Office for",10/15/22
Nurse 2,108614,16,"People With Developmental Disabilities, Office for",10/15/22
Nurse 2 ,108616,16,"People With Developmental Disabilities, Office for",10/15/22
Nurse 2 ,108618,16,"People With Developmental Disabilities, Office for",10/15/22
Nurse 2 ,108620,16,"People With Developmental Disabilities, Office for",10/15/22
Nurse 2 ,108622,16,"People With Developmental Disabilities, Office for",10/15/22
Nurse 2 ,108624,16,"People With Developmental Disabilities, Office for",10/15/22
Nurse 2 ,108627,16,"People With Developmental Disabilities, Office for",10/15/22
Nurse 2 ,108630,16,"People With Developmental Disabilities, Office for",10/15/22
Nurse 2 ,108632,16,"People With Developmental Disabilities, Office for",10/15/22
Senior Certification Analyst,108634,18,"Empire State Development, NYS ",08/14/22
Senior Certification Analyst,108636,18,"Empire State Development, NYS ",08/14/22
Nurse 2 ,108641,16,"People With Developmental Disabilities, Office for",10/15/22
Nurse 2 ,108645,16,"People With Developmental Disabilities, Office for",10/15/22
Nurse 2 ,108647,16,"People With Developmental Disabilities, Office for",10/15/22
"Vice President, NYSTAR Business Development	",108654,NS,"Empire State Development, NYS ",09/14/22
Land Surveyor ,108666,20,"Transportation, Department of ",08/01/22
Nurse 2,108671,16,"People With Developmental Disabilities, Office for",10/15/22
Nurse 2,108675,16,"People With Developmental Disabilities, Office for",10/15/22
Nurse 2 ,108677,16,"People With Developmental Disabilities, Office for",10/15/22
Nurse 2 ,108679,16,"People With Developmental Disabilities, Office for",10/15/22
Nurse 2 ,108682,16,"People With Developmental Disabilities, Office for",10/15/22
Nurse 2 ,108684,16,"People With Developmental Disabilities, Office for",10/15/22
Nurse 2 ,108688,16,"People With Developmental Disabilities, Office for",10/15/22
Nurse 2 ,108691,16,"People With Developmental Disabilities, Office for",10/15/22
Nurse 2 ,108693,16,"People With Developmental Disabilities, Office for",10/15/22
Nurse 2 ,108696,16,"People With Developmental Disabilities, Office for",10/15/22
Nurse 2 ,108698,16,"People With Developmental Disabilities, Office for",10/15/22
Nurse 2,108700,16,"People With Developmental Disabilities, Office for",10/15/22
Plant Utilities Engineer 1,108707,14,"Corrections and Community Supervision, Department of ",09/30/22
General Mechanic,108711,12,"Military and Naval Affairs, Division of ",10/15/22
General Mechanic,108713,12,"Military and Naval Affairs, Division of ",10/15/22
"Assistant Attorney General, Taxpayer Protection Bureau (TPB_NYC_AAG_3485)",108726,NS,"Attorney General, Office of the",08/26/22
