Job Title,Job Number,Job Grade,Job Agency,Application Due By,Link To Job
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 8- Rockland County),104282,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=104282"">Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 8- Rockland County)</a>]"
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 8- Westchester County),104284,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=104284"">Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 8- Westchester County)</a>]"
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 8- Rockland County),104286,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=104286"">Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 8- Rockland County)</a>]"
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 8- Westchester County),104288,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=104288"">Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 8- Westchester County)</a>]"
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 8- Rockland County),104290,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=104290"">Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 8- Rockland County)</a>]"
"Treatment Unit Clerk/Trainee, Mid-Hudson Forensic Psychiatric Center, P22796",104292,NS,"Mental Health, Office of",08/15/22,"[<a href=""vacancyDetailsView.cfm?id=104292"">Treatment Unit Clerk/Trainee, Mid-Hudson Forensic Psychiatric Center, P22796</a>]"
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 8- Orange County),104296,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=104296"">Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 8- Orange County)</a>]"
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 8- Dutchess County),104299,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=104299"">Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 8- Dutchess County)</a>]"
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 8- Dutchess County),104302,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=104302"">Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 8- Dutchess County)</a>]"
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 8- Columbia County),104305,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=104305"">Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 8- Columbia County)</a>]"
"Nurse 3 Psychiatric, Mohawk Valley Psychiatric Center, Children and Youth, P22798",104312,20,"Mental Health, Office of",08/08/22,"[<a href=""vacancyDetailsView.cfm?id=104312"">Nurse 3 Psychiatric, Mohawk Valley Psychiatric Center, Children and Youth, P22798</a>]"
Thruway Maintenance Worker (Trainee),104319,NS,Thruway Authority,08/31/22,"[<a href=""vacancyDetailsView.cfm?id=104319"">Thruway Maintenance Worker (Trainee)</a>]"
Service and Repair Mechanic (Motor Equipment) ,104322,12,Thruway Authority,08/31/22,"[<a href=""vacancyDetailsView.cfm?id=104322"">Service and Repair Mechanic (Motor Equipment) </a>]"
Trades Generalist (HVAC),104327,12,Thruway Authority,08/31/22,"[<a href=""vacancyDetailsView.cfm?id=104327"">Trades Generalist (HVAC)</a>]"
Highway Maintenance Worker 1/ Trainee 1/ Trainee 2 (Hamilton County-Region 2),104346,NS,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=104346"">Highway Maintenance Worker 1/ Trainee 1/ Trainee 2 (Hamilton County-Region 2)</a>]"
Highway Maintenance Worker 1/ Trainee 1/ Trainee 2 (Montgomery County-Region 2),104351,NS,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=104351"">Highway Maintenance Worker 1/ Trainee 1/ Trainee 2 (Montgomery County-Region 2)</a>]"
Highway Maintenance Worker 1/ Trainee 1/ Trainee 2 (Fulton County-Region 2),104354,NS,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=104354"">Highway Maintenance Worker 1/ Trainee 1/ Trainee 2 (Fulton County-Region 2)</a>]"
Highway Maintenance Worker 1/ Trainee 2 (Madison County-Region 2),104357,NS,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=104357"">Highway Maintenance Worker 1/ Trainee 2 (Madison County-Region 2)</a>]"
Highway Maintenance Worker 1/ Trainee 1/ Trainee 2 (Oneida County-Region 2),104360,NS,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=104360"">Highway Maintenance Worker 1/ Trainee 1/ Trainee 2 (Oneida County-Region 2)</a>]"
Senior Engineering Technician,104363,13,"Military and Naval Affairs, Division of ",09/30/22,"[<a href=""vacancyDetailsView.cfm?id=104363"">Senior Engineering Technician</a>]"
Airport Firefighter 1,104384,12,"Military and Naval Affairs, Division of ",12/31/23,"[<a href=""vacancyDetailsView.cfm?id=104384"">Airport Firefighter 1</a>]"
Airport Firefighter 1,104387,12,"Military and Naval Affairs, Division of ",12/31/23,"[<a href=""vacancyDetailsView.cfm?id=104387"">Airport Firefighter 1</a>]"
General Mechanic-Electrician,104394,12,"Military and Naval Affairs, Division of ",09/30/22,"[<a href=""vacancyDetailsView.cfm?id=104394"">General Mechanic-Electrician</a>]"
Facilities Operations Assistant 1 ,104427,06,"Military and Naval Affairs, Division of ",08/31/22,"[<a href=""vacancyDetailsView.cfm?id=104427"">Facilities Operations Assistant 1 </a>]"
Highway Maintenance Worker Trainee 1/Highway Maintenance Worker Trainee 2/Highway Maintenance Worker 1 (Region 4- Monroe County),104444,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=104444"">Highway Maintenance Worker Trainee 1/Highway Maintenance Worker Trainee 2/Highway Maintenance Worker 1 (Region 4- Monroe County)</a>]"
Highway Maintenance Worker Trainee 1/Highway Maintenance Worker Trainee 2/Highway Maintenance Worker 1 (Region 4- Livingston County),104446,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=104446"">Highway Maintenance Worker Trainee 1/Highway Maintenance Worker Trainee 2/Highway Maintenance Worker 1 (Region 4- Livingston County)</a>]"
Highway Maintenance Worker Trainee 1/Highway Maintenance Worker Trainee 2/Highway Maintenance Worker 1 (Region 4- Wayne County),104448,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=104448"">Highway Maintenance Worker Trainee 1/Highway Maintenance Worker Trainee 2/Highway Maintenance Worker 1 (Region 4- Wayne County)</a>]"
Highway Maintenance Worker Trainee 1/Highway Maintenance Worker Trainee 2/Highway Maintenance Worker 1 (Region 4- Ontario County),104450,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=104450"">Highway Maintenance Worker Trainee 1/Highway Maintenance Worker Trainee 2/Highway Maintenance Worker 1 (Region 4- Ontario County)</a>]"
Highway Maintenance Worker Trainee 1/Highway Maintenance Worker Trainee 2/Highway Maintenance Worker 1 (Region 4- Genesee County),104452,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=104452"">Highway Maintenance Worker Trainee 1/Highway Maintenance Worker Trainee 2/Highway Maintenance Worker 1 (Region 4- Genesee County)</a>]"
Highway Maintenance Worker Trainee 1/Highway Maintenance Worker Trainee 2/Highway Maintenance Worker 1 (Region 4- Orleans County),104454,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=104454"">Highway Maintenance Worker Trainee 1/Highway Maintenance Worker Trainee 2/Highway Maintenance Worker 1 (Region 4- Orleans County)</a>]"
Highway Mainetenance Worker Trainee 1/Highway Maintenance Worker Trainee 2/Highway Maintenance Worker 1 (Region 4- Wyoming County),104456,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=104456"">Highway Mainetenance Worker Trainee 1/Highway Maintenance Worker Trainee 2/Highway Maintenance Worker 1 (Region 4- Wyoming County)</a>]"
Assistant Engineer (Civil/Transportation),104461,20,Thruway Authority,08/31/22,"[<a href=""vacancyDetailsView.cfm?id=104461"">Assistant Engineer (Civil/Transportation)</a>]"
Highway Maintenance Worker Trainee 2/Highway Maintenance Worker 1 (Region 6- Allegany County),104475,NS,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=104475"">Highway Maintenance Worker Trainee 2/Highway Maintenance Worker 1 (Region 6- Allegany County)</a>]"
Nurse 2,104480,16,"Children & Family Services, Office of ",08/07/22,"[<a href=""vacancyDetailsView.cfm?id=104480"">Nurse 2</a>]"
Highway Maintenance Worker Trainee 1/Highway Maintenance Worker Trainee 2/Highway Maintenance Worker 1 (Region 6- Steuben County),104483,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=104483"">Highway Maintenance Worker Trainee 1/Highway Maintenance Worker Trainee 2/Highway Maintenance Worker 1 (Region 6- Steuben County)</a>]"
Highway Maintenance Worker Trainee 1/Highway Maintenance Worker Trainee 2/Highway Maintenance Worker 1 (Region 6- Yates County),104487,NS,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=104487"">Highway Maintenance Worker Trainee 1/Highway Maintenance Worker Trainee 2/Highway Maintenance Worker 1 (Region 6- Yates County)</a>]"
"Special Assistant, Box EXEC-114/02301",104506,NS,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=104506"">Special Assistant, Box EXEC-114/02301</a>]"
Licensed Psychologist,104562,25,"People With Developmental Disabilities, Office for",11/25/22,"[<a href=""vacancyDetailsView.cfm?id=104562"">Licensed Psychologist</a>]"
Thruway Maintenance Worker (Trainee),104616,NS,Thruway Authority,08/31/22,"[<a href=""vacancyDetailsView.cfm?id=104616"">Thruway Maintenance Worker (Trainee)</a>]"
Licensed Practical Nurse (Hourly) - St. Lawrence ATC,104675,NS,"Addiction Services and Supports, Office of ",03/31/23,"[<a href=""vacancyDetailsView.cfm?id=104675"">Licensed Practical Nurse (Hourly) - St. Lawrence ATC</a>]"
"Licensed Psychologist, Elmira Psychiatric Center, In Patient, P22822",104683,25,"Mental Health, Office of",08/05/22,"[<a href=""vacancyDetailsView.cfm?id=104683"">Licensed Psychologist, Elmira Psychiatric Center, In Patient, P22822</a>]"
"Licensed Master Social Worker 1/2, Elmira Psychiatric Center, Family Care Program, P22823",104725,18,"Mental Health, Office of",08/05/22,"[<a href=""vacancyDetailsView.cfm?id=104725"">Licensed Master Social Worker 1/2, Elmira Psychiatric Center, Family Care Program, P22823</a>]"
Licensed Practical Nurse (Hourly) - John L. Norris ATC,104730,NS,"Addiction Services and Supports, Office of ",03/31/23,"[<a href=""vacancyDetailsView.cfm?id=104730"">Licensed Practical Nurse (Hourly) - John L. Norris ATC</a>]"
Licensed Practical Nurse (Hourly) - Dick Van Dyke Addiction Treatment Center,104734,NS,"Addiction Services and Supports, Office of ",03/31/23,"[<a href=""vacancyDetailsView.cfm?id=104734"">Licensed Practical Nurse (Hourly) - Dick Van Dyke Addiction Treatment Center</a>]"
Test Center Supervisor,104814,NS,"Civil Service, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=104814"">Test Center Supervisor</a>]"
Test Center Supervisor,104817,Hourly,"Civil Service, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=104817"">Test Center Supervisor</a>]"
Test Center Supervisor,104819,Hourly,"Civil Service, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=104819"">Test Center Supervisor</a>]"
Licensed Psychologist,104837,25,"Children & Family Services, Office of ",07/31/22,"[<a href=""vacancyDetailsView.cfm?id=104837"">Licensed Psychologist</a>]"
"Licensed Master Social Worker 2, Central New York Psychiatric Center, State Wide Satellite Units,  P22221",104840,20,"Mental Health, Office of",12/14/22,"[<a href=""vacancyDetailsView.cfm?id=104840"">Licensed Master Social Worker 2, Central New York Psychiatric Center, State Wide Satellite Units,  P22221</a>]"
"Licensed Master Social Worker 1, Central New York Psychiatric Center, Upstate Satellite Unit, P22841",104845,18,"Mental Health, Office of",08/17/22,"[<a href=""vacancyDetailsView.cfm?id=104845"">Licensed Master Social Worker 1, Central New York Psychiatric Center, Upstate Satellite Unit, P22841</a>]"
"Licensed Master Social Worker 2, Central New York Psychiatric Center, Woodburne Satellite Unit, P22842",104857,20,"Mental Health, Office of",08/17/22,"[<a href=""vacancyDetailsView.cfm?id=104857"">Licensed Master Social Worker 2, Central New York Psychiatric Center, Woodburne Satellite Unit, P22842</a>]"
Pharmacy Aide,104864,07,"Corrections and Community Supervision, Department of ",10/06/22,"[<a href=""vacancyDetailsView.cfm?id=104864"">Pharmacy Aide</a>]"
Highway Maintenance Worker 1/ Trainee 1/ Trainee 2 (Cayuga County-Region 3),104900,NS,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=104900"">Highway Maintenance Worker 1/ Trainee 1/ Trainee 2 (Cayuga County-Region 3)</a>]"
Highway Maintenance Worker 1/ Trainee 1/ Trainee 2 (Cortland County-Region 3),104902,NS,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=104902"">Highway Maintenance Worker 1/ Trainee 1/ Trainee 2 (Cortland County-Region 3)</a>]"
Highway Maintenance Worker 1/ Trainee 1/ Trainee 2 (Onondaga County-Region 3),104904,NS,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=104904"">Highway Maintenance Worker 1/ Trainee 1/ Trainee 2 (Onondaga County-Region 3)</a>]"
Highway Maintenance Worker 1/ Trainee 1/ Trainee 2 (Oswego County-Region 3),104906,NS,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=104906"">Highway Maintenance Worker 1/ Trainee 1/ Trainee 2 (Oswego County-Region 3)</a>]"
Highway Maintenance Worker 1/ Trainee 1/ Trainee 2 (Seneca County-Region 3),104908,NS,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=104908"">Highway Maintenance Worker 1/ Trainee 1/ Trainee 2 (Seneca County-Region 3)</a>]"
Highway Maintenance Worker 1/ Trainee 1/ Trainee 2 (Tompkins County-Region 3),104910,NS,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=104910"">Highway Maintenance Worker 1/ Trainee 1/ Trainee 2 (Tompkins County-Region 3)</a>]"
Grants Analyst 1-REPOST,104936,18,"Military and Naval Affairs, Division of ",08/31/22,"[<a href=""vacancyDetailsView.cfm?id=104936"">Grants Analyst 1-REPOST</a>]"
Office Assistant 2 - Calculations,105009,09,"People With Developmental Disabilities, Office for",11/11/22,"[<a href=""vacancyDetailsView.cfm?id=105009"">Office Assistant 2 - Calculations</a>]"
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 ,105043,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=105043"">Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 </a>]"
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 ,105045,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=105045"">Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 </a>]"
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 ,105047,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=105047"">Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 </a>]"
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 ,105050,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=105050"">Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 </a>]"
Plant Utilities Engineer 1 - Continuous Recruitment ,105063,14,"Health, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=105063"">Plant Utilities Engineer 1 - Continuous Recruitment </a>]"
Nurse 1   Registered Nurse 1     EOA # 22-013R,105080,14,"People With Developmental Disabilities, Office for",01/07/23,"[<a href=""vacancyDetailsView.cfm?id=105080"">Nurse 1   Registered Nurse 1     EOA # 22-013R</a>]"
RN2 -  Nurse 2 - Registered Nurse 2    EOA# 22-065R,105096,16,"People With Developmental Disabilities, Office for",11/17/22,"[<a href=""vacancyDetailsView.cfm?id=105096"">RN2 -  Nurse 2 - Registered Nurse 2    EOA# 22-065R</a>]"
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 7) ,105122,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=105122"">Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 7) </a>]"
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 7) ,105124,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=105124"">Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 7) </a>]"
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 7) ,105127,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=105127"">Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 7) </a>]"
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 7) ,105129,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=105129"">Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 7) </a>]"
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 7) ,105131,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=105131"">Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 7) </a>]"
Registered Nurse 2    RN2   EOA# 20-092R,105205,16,"People With Developmental Disabilities, Office for",01/07/23,"[<a href=""vacancyDetailsView.cfm?id=105205"">Registered Nurse 2    RN2   EOA# 20-092R</a>]"
Registered Nurse 2    RN2   EOA# 20-071R,105208,16,"People With Developmental Disabilities, Office for",01/07/23,"[<a href=""vacancyDetailsView.cfm?id=105208"">Registered Nurse 2    RN2   EOA# 20-071R</a>]"
"Nurse 2 Psychiatric, Central New York Psychiatric Center - Five Points Satellite Unit, P22856",105220,16,"Mental Health, Office of",08/25/22,"[<a href=""vacancyDetailsView.cfm?id=105220"">Nurse 2 Psychiatric, Central New York Psychiatric Center - Five Points Satellite Unit, P22856</a>]"
"Director, Teacher Certification, Box OHE-922/14607",105245,663,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=105245"">Director, Teacher Certification, Box OHE-922/14607</a>]"
Plant Utilities Assistant,105391,09,"Corrections and Community Supervision, Department of ",08/01/22,"[<a href=""vacancyDetailsView.cfm?id=105391"">Plant Utilities Assistant</a>]"
Manager Testing Services - Psychometrician,105416,664,"Civil Service, Department of ",09/19/22,"[<a href=""vacancyDetailsView.cfm?id=105416"">Manager Testing Services - Psychometrician</a>]"
Auditor 1 (Municipal) - Item #03779 (Syracuse Regional Office),105463,18,"State Comptroller, Office of the ",08/08/22,"[<a href=""vacancyDetailsView.cfm?id=105463"">Auditor 1 (Municipal) - Item #03779 (Syracuse Regional Office)</a>]"
Auditor 1 (Municipal) - Item #03966(Buffalo Regional Office),105471,18,"State Comptroller, Office of the ",08/08/22,"[<a href=""vacancyDetailsView.cfm?id=105471"">Auditor 1 (Municipal) - Item #03966(Buffalo Regional Office)</a>]"
Nurse 2,105487,16,"Children & Family Services, Office of ",08/23/22,"[<a href=""vacancyDetailsView.cfm?id=105487"">Nurse 2</a>]"
Nurse 2,105518,16,"Children & Family Services, Office of ",08/23/22,"[<a href=""vacancyDetailsView.cfm?id=105518"">Nurse 2</a>]"
Thruway Maintenance Worker ,105581,NS,Thruway Authority,07/31/22,"[<a href=""vacancyDetailsView.cfm?id=105581"">Thruway Maintenance Worker </a>]"
Thruway Maintenance Worker (Trainee),105585,NS,Thruway Authority,07/31/22,"[<a href=""vacancyDetailsView.cfm?id=105585"">Thruway Maintenance Worker (Trainee)</a>]"
"Licensed Master Social Worker 1, Creedmoor Psychiatric Center, P22898",105644,18,"Mental Health, Office of",08/08/22,"[<a href=""vacancyDetailsView.cfm?id=105644"">Licensed Master Social Worker 1, Creedmoor Psychiatric Center, P22898</a>]"
Licensed Practical Nurse NYS Veterans Home Montrose     ,105698,10,"Health, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=105698"">Licensed Practical Nurse NYS Veterans Home Montrose     </a>]"
Nurse 2 Psychiatric or Nurse1 (Bronx Addiction Treatment Center),105702,Hourly,"Addiction Services and Supports, Office of ",03/31/23,"[<a href=""vacancyDetailsView.cfm?id=105702"">Nurse 2 Psychiatric or Nurse1 (Bronx Addiction Treatment Center)</a>]"
Hourly Nurse 2 Psychiatric or Nurse 1 (Kingsboro ATC),105705,Hourly,"Addiction Services and Supports, Office of ",03/31/23,"[<a href=""vacancyDetailsView.cfm?id=105705"">Hourly Nurse 2 Psychiatric or Nurse 1 (Kingsboro ATC)</a>]"
Nurse 2 Psychiatric or Nurse 1 Hourly (McPike ATC),105707,Hourly,"Addiction Services and Supports, Office of ",03/31/23,"[<a href=""vacancyDetailsView.cfm?id=105707"">Nurse 2 Psychiatric or Nurse 1 Hourly (McPike ATC)</a>]"
Nurse 2 Psy/Nurse 1 Hourly (Richard C. Ward ATC),105709,Hourly,"Addiction Services and Supports, Office of ",03/31/23,"[<a href=""vacancyDetailsView.cfm?id=105709"">Nurse 2 Psy/Nurse 1 Hourly (Richard C. Ward ATC)</a>]"
Occupational Therapy Assistant 2,105727,14,"People With Developmental Disabilities, Office for",08/19/22,"[<a href=""vacancyDetailsView.cfm?id=105727"">Occupational Therapy Assistant 2</a>]"
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9),105766,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=105766"">Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9)</a>]"
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9),105768,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=105768"">Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9)</a>]"
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9),105770,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=105770"">Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9)</a>]"
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9),105772,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=105772"">Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9)</a>]"
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9),105774,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=105774"">Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9)</a>]"
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9),105776,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=105776"">Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9)</a>]"
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9),105778,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=105778"">Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9)</a>]"
Nurse 2,105811,16,"Corrections and Community Supervision, Department of ",08/30/22,"[<a href=""vacancyDetailsView.cfm?id=105811"">Nurse 2</a>]"
Architect - Downstate Design - NYC,105884,NS,DASNY - Dormitory Authority of the State of New York,08/04/22,"[<a href=""vacancyDetailsView.cfm?id=105884"">Architect - Downstate Design - NYC</a>]"
"Associate Director Training 1 Mental Hygiene, South Beach Psychiatric Center, P22917",105920,661,"Mental Health, Office of",09/30/22,"[<a href=""vacancyDetailsView.cfm?id=105920"">Associate Director Training 1 Mental Hygiene, South Beach Psychiatric Center, P22917</a>]"
Forensic Accountant/Auditor  Medicaid Fraud Control Unit - Hauppauge (MFCU_FAA_HAU_6213),105935,NS,"Attorney General, Office of the",09/02/22,"[<a href=""vacancyDetailsView.cfm?id=105935"">Forensic Accountant/Auditor  Medicaid Fraud Control Unit - Hauppauge (MFCU_FAA_HAU_6213)</a>]"
"Translator (Manual Communications), Box ROM-347/00200",105951,14,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=105951"">Translator (Manual Communications), Box ROM-347/00200</a>]"
"Licensed Master Social Worker 2, Central New York Psychiatric Center, Marcy, Prison Basaed Sex Offender Treatment Program, P22941",105987,20,"Mental Health, Office of",09/01/22,"[<a href=""vacancyDetailsView.cfm?id=105987"">Licensed Master Social Worker 2, Central New York Psychiatric Center, Marcy, Prison Basaed Sex Offender Treatment Program, P22941</a>]"
"Secure Care Treatment Aide 1, Secure Care Treatment and Rehabilitation Center, STARC, Oakview, P22943",106007,11,"Mental Health, Office of",09/01/22,"[<a href=""vacancyDetailsView.cfm?id=106007"">Secure Care Treatment Aide 1, Secure Care Treatment and Rehabilitation Center, STARC, Oakview, P22943</a>]"
C220077 – Cleaner – Custodial,106027,05,University at Buffalo,11/20/22,"[<a href=""vacancyDetailsView.cfm?id=106027"">C220077 – Cleaner – Custodial</a>]"
C220079 - Maintenance Supervisor 1 - Campus Operations,106071,14,University at Buffalo,11/23/22,"[<a href=""vacancyDetailsView.cfm?id=106071"">C220079 - Maintenance Supervisor 1 - Campus Operations</a>]"
Assistant Solicitor General - Division of Appeals & Opinions NYC (A&O_NYC_ASG_2022),106077,NS,"Attorney General, Office of the",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=106077"">Assistant Solicitor General - Division of Appeals &amp; Opinions NYC (A&amp;O_NYC_ASG_2022)</a>]"
"Pharmacy Aide, Rochester Psychiatric Center, P22952",106099,07,"Mental Health, Office of",08/29/22,"[<a href=""vacancyDetailsView.cfm?id=106099"">Pharmacy Aide, Rochester Psychiatric Center, P22952</a>]"
Nurse 2,106137,16,"Children & Family Services, Office of ",09/01/22,"[<a href=""vacancyDetailsView.cfm?id=106137"">Nurse 2</a>]"
"Food Service Worker 2, Part-Time, Rockland Children's Psychiatric Center, Food Service, P22955",106199,09,"Mental Health, Office of",08/12/22,"[<a href=""vacancyDetailsView.cfm?id=106199"">Food Service Worker 2, Part-Time, Rockland Children's Psychiatric Center, Food Service, P22955</a>]"
